,标题,学校,门类/专业,招生人数,发布时间,链接
99,2020燕山大学电气工程学院“智能信息处理”课题组接收研究生调剂！！！,燕山大学,工学 -> 计算机科学与技术  ,20,2020-02-20 11:44,http://muchong.com/t-14075461-1
100,[硕博招生] 澳门科技大学-新兴计算与通讯研究组-招计算机/通讯方向硕博学生,澳门科技大学,工学 -> 计算机科学与技术  ,15,2020-02-05 16:06,http://muchong.com/t-14053972-1
101,澳门科技大学「新兴计算与通讯研究组」招收区块链/无线网络/机器学习等方向硕博学生,澳门科技大学,工学 -> 计算机科学与技术  -> 计算机应用技术,3,2020-02-05 15:15,http://muchong.com/t-14053910-1
102,2020年太原理工大学智能成像光学实验室招收应届考生及调剂生,太原理工,工学 -> 计算机科学与技术  -> 信号与信息处理,5,2020-01-05 22:19,http://muchong.com/t-13835045-1
103,石家庄铁道大学交通信息技术课题组招收非定向博士生,石家庄铁道大学,工学 -> 计算机科学与技术  -> 计算机应用技术,1,2019-12-17 17:41,http://muchong.com/t-13805427-1
104,路易维尔大学计算机科学与工程博士全奖,,工学 -> 计算机科学与技术  ,2,2019-10-19 08:50,http://muchong.com/t-13702241-1
105,安徽师大接收调剂研究生,安徽师大,工学 -> 计算机科学与技术  -> 计算机应用技术,10,2019-03-02 16:42,http://muchong.com/t-13234305-1
106,2019考验调剂，网络信息安全,华侨大学,工学 -> 计算机科学与技术  -> 计算机应用技术,3,2019-02-18 19:23,http://muchong.com/t-13191076-1
107,桂林电子科技大学海量数据分析研究室招收硕士研究生---欢迎计算机专业的考生调剂,桂林电子科技大学,工学 -> 计算机科学与技术  -> 数据库与知识工程,5,2019-02-18 10:48,http://muchong.com/t-13188774-1
108,福建师范大学计算机类学硕研究生调剂生,福建师范大学,工学 -> 计算机科学与技术  -> 计算机应用技术,2,2019-01-28 21:01,http://muchong.com/t-13156489-1
109,太原理工大学智能成像光学实验室招收一志愿及调剂生,太原理工,工学 -> 计算机科学与技术  ,20,2019-01-28 07:52,http://muchong.com/t-13155369-1
110,武汉轻工大学 数学与计算机学院 2019年研究生招生,武汉工大,工学 -> 计算机科学与技术  -> 计算机应用技术,70,2018-09-03 13:32,http://muchong.com/t-12581862-1
111,福建师范大学数学与信息学院肖如良教授教授招收调剂生,福建师范大学,工学 -> 计算机科学与技术  -> 计算机应用技术,2,2018-03-14 00:08,http://muchong.com/t-12153950-1
112,福建农林大学计算机科学与技术硕士研究生仍有调剂名额,福建农林大学,工学 -> 计算机科学与技术  ,20,2017-03-02 21:57,http://muchong.com/t-11115993-1
